Comment,label,score
"@harysastra Kalau tidak bisa menjelaskan, berarti anda sendiri ga paham yang anda maksud",negatif,-6
@Boypiizza001 Contohnya seperti apa tuh?,positif,3
@FreeYoutube-on4gl diatas kan sdh jelas.. bila anda kurang jelas ya lbh baik anda lihat dan rasakan sendiri.. itu nasehat saya.. jangan2 anda gak punya mobil shg sulit paham,negatif,-6
"​@FreeYoutube-on4glproduk Toyota kena skandal kecurangan safty tes 😅. Terus software mereka itu masih di tahun 2010 😅, sementara software mobil sekarang itu udah bisa OTA, tau artinya, kayak Handphone lu bisa updated langsung dirumah tanpa perlu ke dealer",negatif,-9
sruh nilai Agya hrg 250jt tuh😅apa kelebihannya,positif,5
"@lucky889s9 Bener dari Agya sampai Rush, Veloz & Raize tidak waras harganya. Toyota terlalu banyak ambil untung. sekarang baru kita bisa liat pas mobil2 China masuk di Indonesia, dengan fitur2 yang hanya ada di Toyota & Honda di harga 600/800jt",positif,7
Narasi video ini yg bilang mobil ini terlalu murah tdk tepat. Yg benar itu mobil listrik lain maupun mobil2 ice jepang/korea yg serakah dg jualan dg harga gk ngotak,negatif,-9
eksploitasi dompet masyarakat,negatif,-4
"Kita selalu liat dari sisi konsumen. Coba liat dari sisi produsen/dealer. Bikin 1 dealer biayanya berapa sewa lahan, bangun gedung, operasional cost, dlsb dlsb 😂😂 Mereka pede mahal karena lebih banyak bengkel resmi dan dealernya 😂",positif,4
"Ya merk-merk itu kan banyak yg udah punya pabrik sendiri dan diler udah banyak, dan itu semua ada biayanya.",positif,3
"​​@DjokoHardjantoalasan aja itu. Dealer itu kayak waralaba atau beli franchise. Siapa aja bisa jadi dealer dan gak ada yang maksa. Dealer juga bisa putus kontrak, jadi dealer merk lain. LCGC modal palingan gak sampai 75jt dijual 250 kok",negatif,-11
"Ini memang sisa produksi taxi bluebird , ya dari E6 di rubah nama ke M6, ya di jual umum akhirnya, macam bluebird limo toyota, versi umumnya ya vios, di bilang murah banget ya engak, karena menurut perhitungan di china bluebird paling beli 200jutaan saja",positif,8
"@lucky889s9 ya elo bikin aja sendiri 🤣🤣, biar ga ada biaya riset, gaji pegawai, untung perusahaan, biaya produksi, biaya bahan logam, biaya baterai, biaya infrastruktur, biaya layanan purna jual, 🤣 elo bikin sendiri aja , siapa tau bisa 50juta , emang gampang",positif,7
"Editor x Kameramennya Carmudi memang ngga ada lawan , terbaik

Terutama
#OpeningVideo",negatif,-6
Hati2.. Harga segitu tdk termasuk service dan sparepart gratis ya.. Siap2 dana cadangan klo service dan ganti sparepart,positif,5
EV mah sedikit bos item service nya ga kaya mobil bbm yang rempong. Sama aja kayak beli LCGC lah cuma dapet servis pertama gratis. Saya yakin lebih jaih lebih murah biaya service byd m6 ini dbanding mobil LCGC buat 5-10 tahun pertama. Belum termasuk pajak tahunan yang murahnya gak ngotak atau malah gratis di beberapa daerah buat EV.,positif,5
Memang mobil jepang ada yang kasih sparepart gratis? 😢 Kalo biaya jasa atau oli sih iya,positif,5
"Part EV cuma motor ama batre, fast moving cuma rem. Batre juga nanti 10 -20 tahun pasti bisa murah, teknologi Elektronik berkembang lebih cepat dan bisa dibuat low cost.",positif,16
"orang indo doang yang dikasih murah bilang terlalu murah, membuat pabrikan naikin harga, mempersulit daya beli, mendukung kapitalisme dan konsumerisme, praktik jahat dengan mempercepat inflasi, terkutuk semua orang yang mengeluh barang terlalu murah.",negatif,-8
motor2 china yang pernah masuk itu industri rumah tangga di china yang di impor oleh importir indonesia. bukan masuk resmi.. bedalah.. kok lucu komennya..,positif,5
"Makanya bisa kasih harga segitu krn diler masih minim, pabrik belum jadi, dan belum kasih garansi baterai seumur hidup.",negatif,-6
​@aprianrobiana7877elu bandingin merk abal2 sama yang udh terbukti di seluruh dunia?,negatif,-4
"@aprianrobiana7877 itulah hebatnya Indonesia.. Mocin dulu yang masukin importir lokal. Dan yang di masukin merek2 yang di China pun jarang yang tau. Wkwkwkwk. Kalo brand kek BYD, wuling dkk kan mereka sendiri yang mau masuk pasar indo. Ya bedalah.",positif,3
"Buat yg mendang mending, ingat :

""Jangan pernah jadi early adopter.""",negatif,-10
teknologi ev sudah relatif matang.,positif,3
@user-krUpUk3d4n namanya masalah pasti ada tp tdk signifikan. tahun 2024 adalah titik balik dimana EV jauh lebih menguntungkan untuk dibeli drpada konvensional. di tahun 2030 nanti harga baterai dan panel surya jauh lebih murah. banyak orang bisa pasang sendiri panel surya dan DC charger.,positif,16
"Wkwk,mimpi lu.kalo lu bicara ini di taon 2050 mungkin gw percaya.selagi bbm masih banyak,mending pilih mobil yg pake BBM.mobil gw udh 10 taon mesin masih gres, perawatan murah meriah",positif,8
"​@NetizenBegaland Iya, nasib moblis pasti sama kayak nasib hp Cina. Gak ada yang beli karena HP Nokia tahan 30 tahun lebih, spare part masih banyak dan ongkos wi-fi di rumah masih mahal buat internetan, mending ke warnet buat nontonin video youtube. Jujur aja gak ngerti dah kenapa org pada mau touchscreen padahal HP 5jt ganti layar pecah bisa sampai 2jt. Buat menengah kebawa sudah paling bener 2G. Eh ini masih tahun 2012 kan ya?",positif,5
"@aldodoank4933 baterai apa 50 jt? Anda bilang molis itu motor listrik apa mobil listrik? Molis selis ngga masuk bahasan. Kalo moblis ok. Harusnya bapak tau harga baterai mobil listrik kalo beneran punya. 
Harga baterai moblis itu 30-60% dr harga mobilnya. Ioniq 5 harga mobilnya 735 jt tapi harga baterainya 400 jutaan. Bukan 400 juta ya, jutaan!
Harga baterai mobil2 listrik cina malah pada bungkam, takut masyarakat pada tahu. Makanya wuling ngga menjawab ditanya harga baterai wuling cloud.",negatif,-12
"@chokeeweebee sarkas lu ngga masuk&lucu. Hp nokia apa yg tahan 30 tahun?
Di eropa penjualan moblis turun..
Naik kendaraan kok dibikin pusing harga baterai, stasiun pengisian baterai, cas baterai yg aman, kerusakan baterai yg mengerikan, dan malfungsi sistem yg bikin mogok gok.
Xpander, tinggal bejek bejek gaaaasss.. spbu dimana mana sampaipun di pedalaman (ngecer).",negatif,-5
"@NetizenBegaland Setuju bng, Expander hebat bisa gaspol dari nyala lgsg top speed ganti oli sekali 5 tahun tinggal pakai bimoli biar makin ngacir. Bensin saking banyaknya gak ada tuh antrian di SPBU pedalaman sampai warga mau ganti mobilnya ke 3000cc keatas krn 1.500 terlalu irit. Eropa mah gak cuma moblis aja turun, mobil bensin turun akibat kebijakan pro-hijo sono sampai paris aja jadi kota sepeda dan tukang becak pada kumpulin duit krn laris manis disono. Eh spbu? ngapain bng ini negara kita kan kayak minyak sampai sumur air aaja kecampur pertalite, ngapain bayar bensin kalo bor tanah keluar pertalit?",positif,10
"@DjokoHardjanto iya om. Rata2 kan jepang, dan astra kan makelar doang. Cuma ya kalau groupnya mereka nga segera update, ya kayak fitur dll, minimal hybrid harganya lebih  bersaing. Ini china pastinya nga main2, modal besar. Brandnya aja macem2.",positif,5
"@NetizenBegalandapaan mesin jadul dari 2004 masih dipake wkwk.. kaki2 berisik, lemot, apalagi uda cvt wkwk..",negatif,-15
​@aldodoank4933baterai aegis geely tahan 50 tahun.,positif,5
"ev sangattttt minim perawatan,.biaya 1/10 beli bensin petralite..torsi jangan tanya, bsnsin itu lelettttttt pollllll dibanding ev..bensin vs ev bak sms vs wa..",negatif,-7
"@Samuel-ft9hq betul sekali.
btw, tahun 2024 adalah turning point mobil ev. harganya udah anjlok. dan akan terus turun sampai jadi sangat murah. proyeksi dan prediksi Tony Seba akurat sekali.",positif,4
"@SatpamCR7 mesin jadul tapi msh proper. Tenaga dan torsinya diatas avanza dan ertiga.
Kekedapan kabinnya best, suspensi best, kenyamanan udah jgn diperdebatkan kecuali sales dan fans. Nggak nonton review om fitra, mobi, rh, carmudi, dll..? Nggak ada yg bilang evanza, xenia, ertiga, apalagi rush lbh nyaman dr xpd.
105 hp dibilang lemot, gimana yg 88hp? 95hp? Ini lmpv bukan med mvp. Sdh naik mobil cvt? Lebih nyaman kan.. tapi kalo mau sporty jgn pake cvt.. ngga asik. Ngga bs dibejek bejek. Cvt itu buat yg mau alus disemua sisi.",positif,10
"@NetizenBegaland hampir dipastikan semua cell udh rusak itu hasil sotoy apa emang berdasarkan pengamatan dan pengalaman?

100jt sampe 500jt itu udh hitung harga per cell batere nya?",negatif,-5
"@NetizenBegaland lah lu pake ragu segala apa urusan gw. Hahhaha. Duit2 gw. Mau gw bakar juga urusan gw. Mobil listrik itu cocoknya sekarang mobil ke dua. Bolak balik kantor, paling jauh ke puncak ato ke bandung. Buat nikmatin hidup. Bukan buat mending2an. Buat irit2an mending naik sepeda atau grab aja.",positif,9
"​@NetizenBegalandya udah lu tetap pegang aja LCGC lu. Gak ada yang maksa, tp lu juga gak usah nyinyir mobil listrik kalo gak paham",negatif,-11
"​​@NetizenBegalandya rusak beli baru aja. Toh udah 10 tahun. Itung ICE Bensin 2jt/bulan. Setahun 25jt x 10 tahun = 250jt. Bensin doang +Oli + tuneup+jasa 10 tahun yaa...75jt lah ya. Total 325jt... udah gitu berasap, disedot anak batuk2... ayok move on... belum pajak 6jt/th x10th = 60jt. Total 385jt... sama aja beli mobil listril baru pengeluarannya",negatif,-8
Begitu saatnya ganti batere misalnya >10taon lagi ya uda murah. Kaya gatau barang cina aja,positif,8
Katanya blubird jalan 500rb km cmn turun 1% max baterinya😮​@djhrjeiwhri,negatif,-5
"baterai di garansi 8 tahun,kok yo masih mikir harga ganti baterai,8 tahun lagi yo teknologi lebih maju,harga baterai udah murah",positif,19
"Kita ces hp setiap hari, baterai masih bisa bertahan 3-4 tahun yang berarti sekitar 1000-1400x ces

Kalo 1x ces EV sekitar 400km, maka baterai bisa bertahan 400x1000km = 400rb km - 400x1400km = 560km

Nah berapa tahun tu biar dapat 400-560rb km",positif,5
"@andreaswijaya89ify ya klo mocin2 bikin evcar usia batterenya cuma 8 taon kaya pikiran netijen2 , yah bunuh diri lah mereka wkwkwkwkwk. mereka aja bisa mikir gitu, apalagi engineer2nya, apalagi ceo nya.  THINK BEYOND!",positif,3
"BYD itu pabrikan batre bro awalnya, pasti mereka udh pikir jangka panjang, karena mereka juga yang untung kalo batrenya gampang diganti kan beli ke mereka lagi",positif,10
Hemat bbm nya d tabung buat bateri😅,positif,5
Batre jarang rusak mesti diganti kecuali kalau kecelakaan/cacat produksi. Performa biasanya downgrade range nya berkurang tapi tetep bisa dipake. Apalagi batre tipe LFP gini lebih awet dari tipe NMC. kalo misalnya range turun 10-15% tapi odometer udah 300k km lebih sih sangat worth it karena lumayan jarang juga orang pake mobil sampe segitu kecuali pemakaian komersil.,negatif,-4
@imamsetiyono555 iya klo murah..emang ad histori harga sparepart turun di indo?😅..hrg mobil bekas aj digoreng apalagi batere yg gk bisa dibenerin/hrs ganti,negatif,-9
Dwi baterai2 skrg sangatttttt awettttt..asal charge nya benar aja udah..,positif,9
"​@dwinugrohowidyatmono3462cek aja sendiri harga lithium dunia, turun trus kok",negatif,-5
Denger2 udah banyak yg pesen yaa.. ediaann..!!,positif,3
Pasti pak. Harga segini. Indo mpv msh idola,positif,3
Udah pasti sih. Value for money tinggi dibanding kompetitor,positif,5
mumpung.. untung byd masuk wkwkwk,positif,5
"Wuling ""makan"" subsidi pajak untuk keuntungan sendiri 

Wuling Binguo yg diexport ke Thailand harganya cuma 180-200jt, sedangkan disini 372jt 😂

Masuh menunggu BYD meluncurkan Seagull dibawah 300jt, sehingga Wuling bs tobat 🤦🏻",positif,10
"Guling itu kemaruk bang. Mentang2 pelopor moblis dia ambil kesempatan dlm kesempitan memanfaatkan tipikal org indo yg fomo. Skr gigit jari mrk, euforia kendaraan listrik sdh mulai memudar, masyarakat semakin bijak memilih. Mau nurunin ke harga jujurnya mrk malu jd ketahuan maruknya, nggak nurunin harga, mobilnya numpuk di gudang gak ad yg mau beli...rasain! 😂",negatif,-13
"@mugenmugen9937Mobil Indonesia lebih mahal kl non EV

Sedangkan EV tidak kena pajak sama sekali harganya setara dgn negara2 lain. 

BYD/Omoda/Aion di Thailand/Malaysia harganya setara dgn disini

Hanya Wuling EV yang lain sendiri 😂 Di Indonesia harga nya 2x lebih mahal",negatif,-4
"@Emoy-pyuBetul sekali, dan untungnya skrg konsumen yg byk yg sadar, penjualan Air EV dan Binguo terus menurum",positif,9
"Itu modal banyak abis di izin ke pemerintah, yakin saya",positif,3
"Masalah lainnya mgkn aturan moblis yg brubah2,jd produsen bingung,kita konsumen jg bingung harga makin turun",negatif,-11
parahnya si guling colokannya gbt,positif,3
"kalau aku pilih Xenia, separuh harga, lebih lapang, bisa dibawah ke kampung-nan jauh",positif,9
"​@aquaboy192setuju bang, bukan cuma air ev & binguo sj yg skr susah laku, cloud pun juga bingung mrk gmn jualnya, cuma 2 baris tapi harga sama dengan m6 yg 3 baris, udh gitu colokannya nyusahin banget lagi, gbt semua, berasa seolah2 mobil ev sejuta umat aja mrk 😂",negatif,-5
"​@doconcosurg8588oh iya bener, hyundai jg jualan sok bener. Masih ingat ionic 5 yg ud overprice, masi digoreng jg harganya spy gausa inden. Skr sdh ready stok pun ionic 5 ud tiarap angka salesnya",negatif,-16
samaaa aja mobil2 bensin overpricedddddd ente ga sebut?????? lcgs itu harusnya 50 jt an..,negatif,-8
Mungkin faktor pajak balik nama mobil baru yg 30-40% dari harga mobil. Makanya mobil2 di Indo MAHAL,negatif,-5
@kepinn92 Pahami kalau semua EV yang sudah di CKD itu sudah FULL SUBSIDI pajak,positif,5
"@DjokoHardjanto  Gak ada salahnya rakyat ingin produk mobil yg dijual harganya kompetitif. 

Justru rakyat harus price sensitif seperti dinegara2 lain, agar tidak dibohongin dikasih harga ugal2an.

Selama ini konsumen disini terlalu ""polos"" dan menganggap Wuling Air EV 300jt itu murah.

Dan byk jg yg blm tau kalau EV yg sudah dirakit lokal (CKD) itu sudah bebas pajak krn full subsidi",positif,8
Kasian sekali yg Komen negative. Pantes aja pada jadi org Susah. Pikiran nya aja di penuhi kebencian Dan hal negative. Terus aja berpikir negative. Anda akan miskin Dan susah selama nya para pecundang🤣🤣,negatif,-14
Pantes aja banyak yg Susah. Pikiran Dan ucapan nya aja penuh hal negative. Selamat Susah selama nya ya😂😂,positif,5
Udah kismin iri dengki rasis. Alhamdulillah pada engga bisa beli cuma bacot🤣🤣,negatif,-8
"Sebelum komentar ada yg sudah riset tarif pajak di Indonesia vs cina vs Thailand???? 
Kok seperti orang malas cari tau info, tapi sumbu pendek😂
Pajak di Indonesia sampai mobilnya pakai plat kendaraan itu jauh beda lho , jauh lebih mahal. Harga NjKB di Thailand sama aja sperti di Indonesia",negatif,-6
"Dikira bangun pabrik itu gratis mas/mbak 😂
Wuling sudah termasuk murah daripada kimpetitornya.
Harga dibawah 380jt memang M6 ini layak untuk dicoba, tapi harus tahu bahwa garansi battery nya ""hanya"" 6thn kalau nggak salah.
Beda dg brand2 sebelah yg pada ngasih garansi seumur hidup.",positif,23
barusan bapak2 ada curhat kecewa kecewa jalanan di sumbar ini..,negatif,-5
"Guling Uda kemakan Virus Mafia ATPM & Dealer
😂😂😂",negatif,-8
Merk EV yg baru-baru itu memanfaatkan keberhasilan dr usaha di awal-awal pengenalan dan sosialisasi EV dr Wuling dan Hyundai yg makan biaya dan ketidakkonsistenan kebijakan dg adanya perubahan regulasi pemerintah yg kasih insentif pajak ke EV impor meski mobilnya belum dirakit lokal dan belum penuhi TDN 40 persen.,positif,11
BYD itu pemain mobil listrik no 1 di dunia (dari segi penjualan unit) sedangkan Wuling hanya peringkat ke 4 secara global. Jadi wajar kalau BYD mau jor²an atau bakar duit dulu. Atau memang punya teknologi yang bagus tapi bisa murah.,positif,10
Pajak indonesia tong. Itu yg bikin mahal,negatif,-5
Mobil mahal itu krn pajak nya bro...?,negatif,-5
BYD  Build Your Dream M6 mantap,positif,5
"@MadeCiptoBudiman BYD mantap ya, favorit gue Seal itu, semoga kebeli deh hehe",positif,13
"​@aquaboy192 True... but many Japanese-branded cars are also overpriced, even with the ICE technology that has been around for around a century. Why has no one ever talked about overpriced Japanese brands considering its average build quality in general?",negatif,-5
Ente kenapa ga komen mbl2 buatan jepang yg uda puluhan tahun overprice? ​@aquaboy192,negatif,-8
Emang rata2 warga konoha suka skeptis dan negatif sih. Puluhan tahun dijajah produk jepang yg overprice msh byk aja yg beli. Giliran masuk produk china yg murah dikomplain ini itu. Susah ya hahahahaah.,negatif,-17
Byd thn dpn buat pabrik di indo selesai..harganya turun 100jt an dr skg...mantap skl byd murah krn punya pabrik besi baja kaca karet dll..smua ada pabriknya,positif,5
"@aquaboy192 beda subsidinya bro. Yg sudah CKD di Indonesia. Macam wuling eV, hyundai. Dapat keringanan pajak 10%karena TKDN. Kalau merek eV cina lainnya dapat keringanan di bea impor  0%.
Mana ada eV yg belum CKD dapat keringanan pajak. Selain bea impor 0%.
Kenapa byd dan lainnya bisa tetap bersaing harganya dengan yg CKD. Karena jelas harga dari cina sudah jauh lebih murah dibandingkan di CKD lokal. Tetap bisa saing dengan wuling, biarpun tanpa potongan pajak 10persen.
Coba aja cek harga air eV di cina dj aliebaba, sama harganya dengan NJKB rakitan lokal Indonesia. 
Mobil rakitan lokal ga mungkin harganya bisa semurah rakitan cina. Wuling masih wajar harganya karena dealer sudah banyak, merk2 cina yg baru masuk wajar juga perang harga, disamping karena belum terlalu banyak cost di operasional jumlah dealer dan aftersalesnya, mereka juga sedang bakar duit untuk promosi awal",positif,5
"Nah tuh... Mana yg bilang ""terimakasih Wuling terimakasih Wuling"", Halah terimakasih apaan, org Wuling aja Seenaknya sendiri pasang harga😂",positif,5
Kalau nggak suka kan tinggal beli yang lain Bos jadikan nggak usah ribet,negatif,-9
Bangga jika ada buatan Indonesia 🤗,positif,5
Yg bikin mahal harga mobil itu setoran ke pejabat,negatif,-5
"Lu goar goar kaya yang udah pernah masuk 2-2 nya. Masuk BYD M6 gih, plastik reyot kasar kualitasnya kaya calya, joknya tipis baru dipamerin beberapa hari udah ambles
Ya wajar klo lebih murah, kualitasnya aja jauh klo dibawah wuling. Rasain sendiri dah",positif,9
Wuling untuk mobil listrik pabriknya di china... Kalo wuling mobil biasa ada di cikarang.... Thailand pajak murah .. indonesia.. pajaknya sama kaya harga mobilnya,positif,8
Pajak di Indonesia mahal ... Krena di buat korupsi,negatif,-10
Pajak indonesia tinggi 😂😂😂. Habis itu di korupsi. 😅😅,negatif,-10
"Nanti ad brand yg lebih murah dr BYD, komen ini akan muncul lg. Dl wuling dipuja2 krn ancurin jepang, skrg diancurin sesama china. Hadeh",positif,6
"​@Benz-n8m bedain berpikir kritis dgn berpikir ga pake otak. Jgn samain org pinter dgn orang ky loe, yg mesti kerja seumur hidup 😂",negatif,-6
@mz-kun4721 halah bacot nya si iQ78. Bisa nya pikiran negative doang. Engga guna amat Komen nya,negatif,-16
Semenjak buka Alibaba jadi tau si atpm wuling bajingn bener ngasih harga,negatif,-4
Ijin para oknum .dan kawan2   .  Parah si si pemerintah . Gak ngedukung industri sendiri . Sekarang ancur2an ekonomi indonesia,negatif,-4
Listrik lbh baik drpd bensin i agree,positif,5
Review paket lengkap ya Carmudi  positif ,positif,10
"Yang ditunggu, thanks Carmudi ❤",positif,3
"suka dengan reviewnya plus minusnya diulas, keran pak positif ",positif,5
qw rasa lebih enak dari pada mobil liostrrik korea ioniq,positif,11
"brrti suspensi M6 ini dibuat pabrik utk kondisi beban berat, itulah plus minus nya suspensi sistem per.

kalau mau kenyamanan tingkat tinggi, ambil mobil sistem suspensi angin",negatif,-10
Mobilio gw jg gtu kalo di isi 2org keras bgt suspen nya tapi kalo full pas enak bgt empuk😅,positif,13
"Oke ❤ ,pada saatnya aku mau pakai",positif,5
"Nunggu PHEV nya , cepetan lah...",positif,5
kn ada mode nya bang mobil ini lo enak benar😮.,positif,5
"Penyampaian yg sangat nyantai dan edukatif. Mgkin ke belakang nya, bisa di highlight/garis bawah/visual emphasize lagi saat penjabaran poin2 nya. Agar terasa lebih interaktif dan penekanan poin penting.
Terima kasih atas review nya. Membantu sekali bagi kalangan awam EV.",positif,20
Kaya sigra berarti klo belakang kosong kayak gimana gitu klo belakang ke isi agak enak antep,positif,13
Ulasannya keren ❤,positif,5
Terima kasih sudah menonton dan terima kasih juga untuk support dan penilaiannya pak 🙏🏼,positif,7
terima kasih banyak. Reviewnya sangat membantu.,positif,9
"Sama-sama kak, terima kasih juga sudah menonton 🙏🏼",positif,3
"Harusnya ada varian HEV, PHEV,orng Indonesia beli mobil itu adalah investasi,mobil listrik itu harga seken nya sangat jatuh,dan bisa jadi susah jual nya",negatif,-8
"Ini mobil akselerasinya kayak tenaga badak, gasss spontan sampe ban slip saking kuat tenaganya, gila nih mobil",positif,8
"Waduh,bang soal dipake lewat jln g rata dpn sama blkg berasa beda gmn kalo diajak jln di Lampung tmptku yg jalannya banyak g beraspal bahkan aspal sdh hilang semua gmn rasanya coba,apa g mw muantah penumpang kita?😂",positif,3
Bagus videonya om.,positif,5
Terima kasih buat penilaiannya om 🙏🏼,positif,3
"10:40 enak ya punya mobil listrik pajaknya lebih murah, biaya chargernya lebih murah, ketimbang saya rakyat kelas bawah sudah bbmnya oplosan, motor harus di kuras tangki dan ganti filter bensin, pajak motor 150cc lebih dari 500 ribu lagi, indahnya hidup di negeri ini ❤",positif,13
Gak usah merendahkan diri. Karena gak ada juga yg peduli. Bersyukur aja dg yg dimiliki om,positif,6
Cocok bgt buat mudik,positif,8
"Cocok, pas akhir tahun lalu, kami bertemu dengan beberapa BYD M6 plat B di kota Malang bahkan hingga ke Batu",positif,4
Terima kasih bang sudah jujur🙏+subs,positif,8
hehehehe… terima kasih juga sudah menonton,positif,3
Klu dl seminggu gk jalan apa batre msh nyimpan atau berkurang.....,negatif,-8
Menurut gwa M6 udh oek bgt sih cuman 1 kekurangan aja sih waktu layar nya di putar harusnya android auto ama apple carplay nya bisa jalan juga pas layarnya di putar mode potrait jadi biar ga bosen landscape aja,positif,4
Bantingannya kayak apv ya?,negatif,-5
Ah lu aja ga jelas....namanya mobil ya gitu naik pesawat aja goyang2 kl cuaca buruk😢,negatif,-8
"Kalo pertanyaan terakhir setuju atau tidak : Jawabannya TIDAK. Soal rem itu hanya sebatas kebiasaan kok. Coba 2/3 kali juga bakal terbiasa ngeremnya. Untuk suspensi, mnrt saya emang di setting keras (rebound cepat) jd untuk melewati polisi tidur sedikit membal tpi utk jalan halus nyaman sekali.",positif,7
"Betul, setelah pakai bbrp hari terbukti rem nya smooth dan dilengkapi banyak fitur safety brake nya",positif,13
"Suspensi budget
Limbung
Rem nya ngagetin
Bagasi kecil
Entertainment gak nyaman
Harga setara zenix tapi naikan kayak avanza

FIX AMBIL ZENIX",negatif,-17
Ng tertarik modelnya Jelek seperti innova lama,negatif,-8
Favorit ini klu yg review bang audi,positif,3
berharap segera muncul generasi kedua nya dengan facelift dan byk improvement nya 😁 positif ,positif,8
"Sy berapa kali ketemu dgn BYD M6, liat di jalan tol yg full beton atap belakangnya anteng pas belakangnya ada Xpander Cross malah mental mentul.",positif,10
"ya betul om.... saya dari pengguna ertiga. pindah ke M6. rasanya lebih enak dibanding ertiga, yang katanya udah nyaman di kelasnya.... dibanding dengan innove... innove lebih empuk, karena setting untuk jalanan indo yang masih banyak lobang. sedangkan iM6 ini lebih nyaman kalo cruising... gak pegel... kalo nyetir juga gak bikin pusing, sering mentul2...",positif,24
Betul sekali org indo jika harga ok minusnya bs ditampikkan selama msh lumrah.,negatif,-5
Intinya sulit ngechas sewaktu2 di jalan spt isi Bensin,negatif,-5
TOLOL jgn kau pelihara..ngecas bisa di rumah..ahhahaa,negatif,-8
suspensinya enak. tp jujur lebih milih avanza cs,positif,15
"Shooting nya daerah mana Bang, enak kayaknya rimbun dan rumahnya bagus2...",positif,10
3:17 rem itu karena regeneratif nya harus di sesuaikan mode nya,positif,5
"berarti suspensinya model kaya Luxio dan APV yak Hard, kalo kosong gak enak tapi kalo penuh dan di isi beban berat enak.",negatif,-13
"saran sih biar menghindari titik jenuh ANM jgn cuman review mobil2 baru, tapi lbh luas cari aja yg di gemari org petrolhead, entah mobkas entah komparasi, entah analisa, entah fenomena yg terjadi saat ini di otomotif, lebih luas.",positif,11
"Klo gw orang jabotabek gw sikat ni mobil... sayangnya orang daerah spklu jarang, listrik naek turun adeh ac aja rontok gimana mobil 😢😢",negatif,-7
Pajak setahun 443.000 memang bangsat mobil listrik. Pemerintah mengarahkan untuk beli kenderaan listrik dengan Pkb 0 rupiah,negatif,-4
"6:00 mesti penuh biar enak. Udah kayak carry dah. 🤣
Berati bagus buat travel dan antar jemput sih.",positif,13
"Koq enakan mg4 duduk di belakang, beda suspensi nya ya",positif,4
"Suka banget video model gini Kakak. Terima kasih buat review nya. Bener banget. Saya mesti  aware dan belajar ngerem lagi deh pake M6. Mudah-mudahan nggak banyak masalah ya.... Btw, ini lokasi di daerah mana kah? Jalanannya alus alus... hehe.",positif,14
"Di pake grab, taxi online ev banyak pake mobil ini",positif,3
pakai screen protector yg bisa buat lebih doff layarnya,positif,5
M6 ini rame d bali sekarang. Sebelumnya sering liat seal dr byd. Tp cloud ma binguo masih banyak jg 😁,positif,8
Bang Audi review motor asik....review mobil lebih enak lagi . Mudah di pahami   cara penyampain nya positif ,positif,24
"Kalo gue, ga bosen sih ngeliat BYD M6 berseliweran di jalan, meskipun gue blom sanggup beli. Justru gue alergi, mau muntah & mata gue sakit/iritasi ngeliat mobil2 Jepang barat (termasuk h miring) di jalanan",negatif,-20
"Mobil impian. jujur sejujur jujurnya saya muak dengan Brand Jepang. jenuh perubahan dimobil jepang gak terlalu signifikan cuma tambah fitur2 dikit berubah muka Tapi Harga bisa Naik 100-150jt Agak, Lain emang Brand Jejepangan",positif,11
"Alergi amat sama brand Jepang? Jangan2, penyembah Jepang barat?😏",negatif,-6
banyakin bikin yang kayak gini om,positif,3
Siaap… terima kasih untuk saran dan masukannya om,positif,3
"Kebayang sih versi *_""FACELIFT""_* dari semua Mobil Listrik China pasti ada *_""IMPROVEMENT & CKD DI INDONESIA""_* Harga Lebih Murah , Fasilitas Pelayanan Purnajual & Ketersediaan Sparepart *_LEBIH BAIK !_*",positif,11
Nanti kayak astra setelah CKD indonesia jadi downgrade 😂😂,negatif,-5
"Saran buat BYD. Ikutin cara wuling Cortez. Apalagi yang bisa sampai 8 penumpang. Wuling cortez kalo kursi keisi 8 orang. Bagasi masih luas. Stigma orang indo itu ""kalo bisa bawa tetangga kanan kiri angkut, kebanggaan orang tua terhadap pencapaian anaknya sambil pamer"" 🫢",positif,13
"Hmmm, koreksi dikit waktu kasih data konsumsi listrik karena beda sama mobil ICE yang kalau beli bensin (selama SPBU-nya kagak nakal), beli 10 liter maka yang masuk ke tangki 10 liter. Agak beda sama mobil listrik yang ada charge loss, jadi beli listrik di SPKLU 10 Kwh, tapi yang masuk ke baterai kita itu paling cuman 8,5 - 9Kwh (buat baterai LFP, kalau NMC bisa di 9-an). Kondisi ini wajar, tapi mungkin banyak reviewer yang kagak jelasin. Termasuk tarif listrik di rumah yang 1.699/Kwh, dimana untuk daya di atas 6.600va itu kena PPN (beda sama listrik yang 5.500va ke bawah itu bebas PPN, sehingga efektif harga listrik itu sekitar 1.900-an per Kwh (termasuk biaya PPJU). Memang tetep lebih irit listrik, tapi supaya perbandingannya lebih real aja. Sebagai info saya pemakain mobil listrik juga supaya mungkin yang baru akan pindah ke listrik sadar akan kondisi ini.",positif,22
Mobil bagus tapi kena masalah dengan BMW gara-gara pakai nama yang sama,positif,5
430jt nambah 2jt lbh dikit bisa dpt tigo csh 😅,positif,5
Point negatif kedua dan ketiga saya juga sama ngerasain itu waktu cobain M6,negatif,-5
"Belum terbiasa.
Sesudah kenali kriteria M6, mobil ini enak handling dan ngeremnya",positif,5
